full_name,bio,birth_year,death_year
James Gillinder and Sons,"American, 1861–ca. 1930",1861      ,1930      
Forestville Manufacturing Company,1835–1853,1835      ,1853      
Paulding Farnham|Tiffany & Co.,1859–1927|1837–present,1859      |1837      ,1927      |9999      
Conrad Henninger,active ca. 1888–1932,1885      ,1932      
Pierre Stephan,"French, active ca. 1770–95",1765      ,1795      
New England Glass Company,"American, East Cambridge, Massachusetts, 1818–1888",1818      ,1888      
Union Glass Company,"American, Somerville, Massachusetts",,
John Bailey,"American, active New York, 1736–1815",1736      ,1815      
James Davis,active 1803–28,1803      ,1828      
John Molineux,active ca. 1800–1820,1797      ,1820      
Revere and Son,ca. 1787–?,1787      ,
Paul Revere Jr.,"American, Boston, Massachusetts 1734–1818 Boston, Massachusetts",1734      ,1818      
Louis Comfort Tiffany|Tiffany Glass and Decorating Company,"American, New York 1848–1933 New York|American, 1892–1902",1848      |1892      ,1933      |1902      
Richard Wittingham,active before 1795–ca. 1818,1794      ,1818      
Stanford White,"American, New York 1853–1906 New York",1853      ,1906      
Augustus Truesdale,,,9999      
Louis Comfort Tiffany,"American, New York 1848–1933 New York",1848      ,1933      
Messenger Company,,,9999      
John Singer Sargent,"American, Florence 1856–1925 London",1856      ,1925      
John Gaines III,"American, 1704–1743",1704      ,1743      
Wood and Hughes,1845–99,1845      ,1899      
Gustave Herter,1830–1898,1830      ,1898      
Thomas Affleck,1740–1795,1740      ,1795      
Henry Connelly,1770–1826,1770      ,1826      
"J. S. Ford, Johnson and Company","American, 1867–1902",1867      ,1902      
Solomon Fussell,active ca. 1726–50,1723      ,1750      
Herter Brothers,"German, active New York, 1864–1906",1864      ,1906      
Heywood Brothers and Wakefield Company,"American, 1897–1921",1897      ,1921      
Hudson and Brooks,active ca. 1823,1773      ,1873      
George Jakob Hunzinger,1835–1898,1835      ,1898      
George Washington Maher,1864–1926,1864      ,1926      
Léon Marcotte,1824–1887,1824      ,1887      
Marks Adjustable Folding Chair Company,1877–97,1877      ,1897      
Samuel McIntire,1757–1811,1757      ,1811      
John and Joseph W. Meeks,active ca. 1836–59,1833      ,1859      
North American Iron Works,ca. 1877–ca. 1897,1874      ,1897      
Charles-Honoré Lannuier,France 1779–1819 New York,1779      ,1819      
Duncan Phyfe,1770–1854,1770      ,1854      
Pottier and Stymus Manufacturing Company,active ca. 1859–1910,1859      ,1910      
Henry Hobson Richardson,1836–1886,1836      ,1886      
John Jelliff,1813–1893,1813      ,1893      
Joseph Meeks & Sons,"American, New York, 1829–35",1829      ,1835      
Auguste-Émile Rinquet-Leprince,1801–1886,1801      ,1886      
Tobey Furniture Company,1875–1954,1875      ,1954      
Archer and Warner,"American, Philadelphia, Pennsylvania",,
Henry N. Hooper,,,9999      
Thomas Danforth Boardman,1784–1873,1784      ,1873      
Henry Kellam Hancock,1816–1851,1816      ,1851      
Pierre Charles L'Enfant,1754–1825,1754      ,1825      
Louis Henry Sullivan|Dankmar Adler,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois|American, 1844–1900",1856      |1844      ,1924      |1900      
Louis Henry Sullivan|Yale and Towne Manufacturing Company|Dankmar Adler,"American, Boston, Massachusetts 1856–1924 Chicago, Illinois|American, 1844–1900",1856      |1868      |1844      ,1924      |9999      |1900      
Curtis and Dunning,1816–ca. 1833,1816      ,1833      
Aaron Willard Jr.,1783–1864,1783      ,1864      
Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts",1825      ,1888      
Samuel Danforth,1774–1816,1774      ,1816      
William Bradford Jr.,1688–1758,1688      ,1758      
Josiah Danforth,1803–1872,1803      ,1872      
Thomas S. Derby,ca. 1786–1852,1786      ,1852      
Samuel Green,1757–ca. 1834,1757      ,1834      
Sylvester Griswold,,,9999      
Samuel Hamlin|Samuel Ely Hamlin,1746–1801|1774–1864,1746      |1774      ,1801      |1864      
Gershom Jones,1751–1809,1751      ,1809      
George Lightner,1749–1815,1749      ,1815      
"Lyman, Fenton & Co.",1849–52,1849      ,1849      
John Skinner,1733–1813,1733      ,1813      
United States Pottery Company,1852–58,1852      ,1852      
Joseph Leddel Sr.|Joseph Leddel Jr.,ca. 1690–1754|1718–1754,1690      |1718      ,1754      |1754      
William Hook,1777–1867,1777      ,1867      
Myer Myers,1723–1795,1723      ,1795      
Laurent Amyot (Amiot),1764–1839,1764      ,1839      
Taylor and Lawrie|Bailey and Kitchen,active 1837–62|active ca. 1833–46,1837      |1830      ,1862      |1846      
Adrian Bancker,1703–1772,1703      ,1772      
Thomas Danforth Boardman|Sherman Boardman,1784–1873|1787–1861,1784      |1787      ,1873      |1861      
Timothy Boardman,1798–1825,1798      ,1825      
Benjamin Burt,"American, Boston, Massachusetts 1729–1805 Boston, Massachusetts",1729      ,1805      
Denis Colombier,active 1776–after 1806,1776      ,1806      
Samuel Drowne,1749–1815,1749      ,1815      
Cary Dunn,active ca. 1765–96,1762      ,1796      
Joseph Edwards Jr.,1737–1783,1737      ,1783      
John Goodhue,active ca. 1822–55,1819      ,1855      
"Gregg, Hayden and Company",active ca. 1832–40,1829      ,1840      
Ashbil Griswold,1784–1853,1784      ,1853      
Samuel Ely Hamlin,1774–1864,1774      ,1864      
George Hanners Sr.,ca. 1696–1740,1693      ,1740      
John Hull|Robert Sanderson Sr.,1624–1683|ca. 1608–1693,1624      |1605      ,1683      |1693      
Isaac Hutton,"American, New York 1766–1855 Albany, New York",1766      ,1855      
Edward Kinsey,active ca. 1834–45,1831      ,1845      
Thomas Lynde,1745–1811,1745      ,1811      
David Moseley,1752–1812,1752      ,1812      
"William Moulton, IV",1772–1861,1772      ,1861      
Thomas Richards,active ca. 1815,1765      ,1865      
Joseph Russell,1702–1780,1702      ,1780      
Moody Russell,1694–1761,1694      ,1761      
Shepherd and Boyd,active 1806–30,1806      ,1830      
Oliver Trask,1792–1847,1792      ,1847      
S. D.,,,9999      
C. White,active ca. 1830–40,1827      ,1840      
Jacob Jacobse Lansing,baptized 1714–1791,1714      ,1791      
Parker Pottery,,,
Thomas Seymour|John Doggett|John Ritto Penniman|Samuel McIntire|Thomas Wightman,"1771–1848|1780–1857|American, Milford, Massachusetts 1782–1841 Baltimore, Maryland|1757–1811|American, active 1802–20 (?)",1771      |1780      |1782      |1757      |1802      ,1848      |1857      |1841      |1811      |1802      
Baumann Brothers,,,9999      
